Generation,AI_Kills,Player_Kills,Average_AI_Health
280,1,0,100.0
281,1,0,100.0
282,1,0,100.0
283,1,0,100.0
284,1,0,100.0
285,1,0,100.0
286,1,0,100.0
287,1,0,100.0
288,1,0,100.0
289,1,0,100.0
290,1,0,100.0
291,1,0,100.0
292,1,0,100.0
293,1,0,100.0
294,1,0,100.0
295,1,0,100.0
296,1,0,100.0
297,1,0,100.0
298,1,0,100.0
299,1,0,100.0
300,1,0,100.0
301,1,0,100.0
302,1,0,100.0
303,1,0,100.0
304,1,0,100.0
305,1,0,100.0
306,1,0,100.0
307,1,0,100.0
308,1,0,100.0
309,1,0,100.0
310,1,0,100.0
311,1,0,100.0
312,1,0,100.0
313,1,0,100.0
314,1,0,100.0
315,1,0,100.0
316,1,0,100.0
317,1,0,100.0
318,1,0,100.0
319,1,0,100.0
320,1,0,100.0
321,1,0,100.0
322,1,0,100.0
323,1,0,100.0
324,1,0,100.0
325,1,0,100.0
326,1,0,100.0
327,1,0,100.0
328,1,0,100.0
329,1,0,100.0
330,1,0,100.0
331,1,0,100.0
332,1,0,100.0
333,1,0,100.0
334,1,0,100.0
335,1,0,100.0
336,1,0,100.0
337,1,0,100.0
338,1,0,100.0
339,1,0,100.0
340,1,0,100.0
341,1,0,100.0
342,1,0,100.0
343,1,0,100.0
344,1,0,100.0
345,1,0,100.0
346,1,0,100.0
347,1,0,100.0
348,1,0,100.0
349,1,0,100.0
350,1,0,100.0
351,1,0,100.0
352,1,0,100.0
353,1,0,100.0
354,1,0,100.0
355,1,0,100.0
356,1,0,100.0
357,1,0,100.0
358,1,0,100.0
359,1,0,100.0
360,1,0,100.0
361,1,0,100.0
362,1,0,100.0
363,1,0,100.0
364,1,0,100.0
365,1,0,100.0
366,1,0,100.0
367,1,0,100.0
368,1,0,100.0
369,1,0,100.0
370,1,0,100.0
371,1,0,100.0
372,1,0,100.0
373,1,0,100.0
374,1,0,100.0
375,1,0,100.0
376,1,0,100.0
377,1,0,100.0
378,1,0,100.0
379,1,0,100.0
380,1,0,100.0
381,1,0,100.0
382,1,0,100.0
383,1,0,100.0
384,1,0,100.0
385,1,0,100.0
386,1,0,100.0
387,1,0,100.0
388,1,0,100.0
389,1,0,100.0
390,1,0,100.0
391,1,0,100.0
392,1,0,100.0
393,1,0,100.0
394,1,0,100.0
395,1,0,100.0
396,1,0,100.0
397,1,0,100.0
398,1,0,100.0
399,1,0,100.0
400,1,0,100.0
401,1,0,100.0
402,1,0,100.0
403,1,0,100.0
404,1,0,100.0
405,1,0,100.0
406,1,0,100.0
407,1,0,100.0
408,1,0,100.0
409,1,0,100.0
410,1,0,100.0
411,1,0,100.0
412,1,0,100.0
413,1,0,100.0
414,1,0,100.0
415,1,0,100.0
416,1,0,100.0
417,1,0,100.0
418,1,0,100.0
419,1,0,100.0
420,1,0,100.0
421,1,0,100.0
422,1,0,100.0
423,1,0,100.0
424,1,0,100.0
425,1,0,98.75
426,1,0,97.5
427,1,0,96.25
428,1,0,95.0
429,1,0,93.75
430,1,0,92.5
431,1,0,91.25
432,1,0,90.0
433,1,0,88.75
434,1,0,87.5
435,1,0,86.25
436,1,0,85.0
437,1,0,83.75
438,1,0,82.5
439,1,0,81.25
440,1,0,80.0
441,1,0,80.0
442,1,0,80.0
443,1,0,80.0
444,1,0,80.0
445,1,0,80.0
446,1,0,80.0
447,1,0,80.0
448,1,0,80.0
449,1,0,80.0
450,1,0,80.0
451,1,0,80.0
452,1,0,80.0
453,1,0,80.0
454,1,0,80.0
455,1,0,80.0
456,1,0,80.0
457,1,0,80.0
458,1,0,80.0
459,1,0,80.0
460,1,0,80.0
461,1,0,80.0
462,1,0,80.0
463,1,0,80.0
464,1,0,80.0
465,1,0,80.0
466,1,0,80.0
467,1,0,80.0
468,1,0,80.0
469,1,0,80.0
470,1,0,80.0
471,1,0,80.0
472,1,0,80.0
473,1,0,78.75
474,1,0,77.5
475,1,0,76.25
476,1,0,75.0
477,1,0,73.75
478,1,0,72.5
479,1,0,71.25
480,1,0,70.0
481,1,0,68.75
482,1,0,67.5
483,1,0,66.25
484,1,0,65.0
485,1,0,63.75
486,1,0,62.5
487,1,0,61.25
488,1,0,60.0
489,1,0,58.75
490,1,0,57.5
491,1,0,56.25
492,2,0,73.33333333333333
493,2,0,73.33333333333333
494,2,0,73.33333333333333
495,2,0,73.33333333333333
496,2,0,73.33333333333333
497,2,0,73.33333333333333
498,2,0,73.33333333333333
499,2,0,73.33333333333333
500,2,0,73.33333333333333
501,2,0,73.33333333333333
502,2,0,73.33333333333333
503,2,0,73.33333333333333
504,2,0,73.33333333333333
505,2,0,73.33333333333333
506,2,0,73.33333333333333
507,2,0,73.33333333333333
508,2,0,73.33333333333333
509,2,0,73.33333333333333
510,2,0,73.33333333333333
511,2,0,73.33333333333333
512,2,0,73.33333333333333
513,2,0,73.33333333333333
514,2,0,73.33333333333333
515,2,0,73.33333333333333
516,2,0,73.33333333333333
517,2,0,73.33333333333333
518,2,0,73.33333333333333
519,2,0,73.33333333333333
520,2,0,73.33333333333333
521,2,0,73.33333333333333
522,2,0,73.33333333333333
523,2,0,73.33333333333333
524,2,0,73.33333333333333
525,2,0,73.33333333333333
526,2,0,73.33333333333333
527,2,0,73.33333333333333
528,2,0,73.33333333333333
529,2,0,73.33333333333333
530,2,0,73.33333333333333
531,2,0,73.33333333333333
532,2,0,73.33333333333333
533,2,0,73.33333333333333
534,2,0,73.33333333333333
535,2,0,73.33333333333333
536,2,0,73.33333333333333
537,2,0,73.33333333333333
538,2,0,73.33333333333333
539,2,0,73.33333333333333
540,2,0,73.33333333333333
541,2,0,73.33333333333333
542,2,0,73.33333333333333
543,2,0,73.33333333333333
544,2,0,73.33333333333333
545,2,0,73.33333333333333
546,2,0,73.33333333333333
547,2,0,73.33333333333333
548,2,0,73.33333333333333
549,2,0,73.33333333333333
550,2,0,73.33333333333333
551,2,0,73.33333333333333
552,2,0,73.33333333333333
553,2,0,73.33333333333333
554,2,0,73.33333333333333
555,2,0,73.33333333333333
556,2,0,73.33333333333333
557,2,0,73.33333333333333
558,2,0,73.33333333333333
559,2,0,73.33333333333333
560,2,0,73.33333333333333
561,2,0,73.33333333333333
562,2,0,73.33333333333333
563,2,0,73.33333333333333
564,2,0,73.33333333333333
565,2,0,73.33333333333333
566,2,0,73.33333333333333
567,2,0,73.33333333333333
568,2,0,73.33333333333333
569,2,0,73.33333333333333
570,2,0,73.33333333333333
571,2,0,73.33333333333333
572,2,0,73.33333333333333
573,2,0,73.33333333333333
574,2,0,73.33333333333333
575,2,0,73.33333333333333
576,2,0,73.33333333333333
577,2,0,73.33333333333333
578,2,0,73.33333333333333
579,2,0,73.33333333333333
580,2,0,73.33333333333333
581,2,0,73.33333333333333
582,2,0,73.33333333333333
583,2,0,73.33333333333333
584,2,0,73.33333333333333
585,2,0,73.33333333333333
586,2,0,73.33333333333333
587,2,0,73.33333333333333
588,2,0,73.33333333333333
589,2,0,73.33333333333333
590,2,0,73.33333333333333
591,2,0,73.33333333333333
592,2,0,73.33333333333333
593,2,0,73.33333333333333
594,2,0,73.33333333333333
595,2,0,73.33333333333333
596,2,0,73.33333333333333
597,2,0,73.33333333333333
598,2,0,73.33333333333333
599,2,0,73.33333333333333
600,2,0,73.33333333333333
601,2,0,73.33333333333333
602,2,0,73.33333333333333
603,2,0,73.33333333333333
604,2,0,73.33333333333333
605,2,0,73.33333333333333
606,2,0,73.33333333333333
607,2,0,73.33333333333333
608,2,0,73.33333333333333
609,2,0,73.33333333333333
610,2,0,73.33333333333333
611,2,0,73.33333333333333
612,2,0,73.33333333333333
613,2,0,73.33333333333333
614,2,0,73.33333333333333
615,2,0,73.33333333333333
616,2,0,73.33333333333333
617,2,0,73.33333333333333
618,2,0,73.33333333333333
619,2,0,73.33333333333333
620,2,0,73.33333333333333
621,2,0,73.33333333333333
622,2,0,73.33333333333333
623,2,0,73.33333333333333
624,2,0,73.33333333333333
625,2,0,73.33333333333333
626,2,0,73.33333333333333
627,2,0,73.33333333333333
628,2,0,73.33333333333333
629,2,0,73.33333333333333
630,2,0,73.33333333333333
631,2,0,73.33333333333333
632,2,0,73.33333333333333
633,2,0,73.33333333333333
634,2,0,73.33333333333333
635,2,0,73.33333333333333
636,2,0,73.33333333333333
637,2,0,73.33333333333333
638,2,0,73.33333333333333
639,2,0,73.33333333333333
640,2,0,73.33333333333333
641,2,0,73.33333333333333
642,2,0,73.33333333333333
643,2,0,73.33333333333333
644,2,0,73.33333333333333
645,2,0,73.33333333333333
646,2,0,73.33333333333333
647,2,0,73.33333333333333
648,2,0,73.33333333333333
649,2,0,73.33333333333333
650,2,0,73.33333333333333
651,2,0,73.33333333333333
652,2,0,73.33333333333333
653,2,0,73.33333333333333
654,2,0,73.33333333333333
655,2,0,73.33333333333333
656,2,0,73.33333333333333
657,2,0,73.33333333333333
658,2,0,73.33333333333333
659,2,0,73.33333333333333
660,2,0,73.33333333333333
661,2,0,73.33333333333333
662,2,0,73.33333333333333
663,2,0,73.33333333333333
664,2,0,73.33333333333333
665,2,0,73.33333333333333
666,2,0,73.33333333333333
667,2,0,73.33333333333333
668,2,0,73.33333333333333
669,2,0,73.33333333333333
670,2,0,73.33333333333333
671,2,0,73.33333333333333
672,2,0,73.33333333333333
673,2,0,73.33333333333333
674,2,0,73.33333333333333
675,2,0,73.33333333333333
676,2,0,73.33333333333333
677,2,0,73.33333333333333
678,2,0,73.33333333333333
679,2,0,73.33333333333333
680,2,0,73.33333333333333
681,2,0,73.33333333333333
682,2,0,73.33333333333333
683,2,0,73.33333333333333
684,2,0,73.33333333333333
685,2,0,73.33333333333333
686,2,0,73.33333333333333
687,2,0,73.33333333333333
688,2,0,73.33333333333333
689,2,0,71.66666666666667
690,2,0,70.0
691,2,0,68.33333333333333
692,2,0,66.66666666666667
693,2,0,65.0
694,2,0,63.333333333333336
695,2,0,61.666666666666664
696,2,0,60.0
697,2,0,58.333333333333336
698,2,0,56.666666666666664
699,2,0,55.0
700,2,0,53.333333333333336
701,2,0,51.666666666666664
702,2,0,50.0
703,2,0,48.333333333333336
704,2,0,46.666666666666664
705,2,0,45.0
706,2,0,43.333333333333336
707,2,0,41.666666666666664
708,3,0,60.0
709,3,0,60.0
710,3,0,60.0
711,3,0,60.0
712,3,0,60.0
713,3,0,60.0
714,3,0,60.0
715,3,0,60.0
716,3,0,60.0
717,3,0,60.0
718,3,0,60.0
719,3,0,60.0
720,3,0,60.0
721,3,0,60.0
722,3,0,60.0
723,3,0,60.0
724,3,0,60.0
725,3,0,60.0
726,3,0,60.0
727,3,0,60.0
728,3,0,60.0
729,3,0,60.0
730,3,0,60.0
731,3,0,60.0
732,3,0,60.0
733,3,0,60.0
734,3,0,60.0
